Job name,Company name,Star,Lương,Skills,Job Expertise,Job Domain,Kinh nghiệm,Level,Work at,Work days,Company size,Address,Company industry,Company country,link
10 Fullstack (C# JavaScript) Sr Developers /up to $3000,RANGSTRUP IT Vietnam,4.5,"1,400 - 3,000 USD","C#,ASP.NET,English,Azure,.NET,JavaScript",Fullstack Developer,"Environment,Software Development Outsourcing,Software Products and Web Services",,,Hybrid,Monday - Friday,1-50 employees,"19 Tan Canh, Tan Binh, Ho Chi Minh",Software Development Outsourcing,Denmark,https://itviec.com/it-jobs/10-fullstack-c-javascript-sr-developers-up-to-3000-rangstrup-it-vietnam-1422
"Senior Fullstack Developer (ReactJS, NodeJS)",AMANOTES,4.5,You'll love it,"Fullstack,NestJS,TypeScript,JavaScript,NodeJS,ReactJS",Fullstack Developer,"Game,Media, Advertising and Entertainment,Software Products and Web Services",,,At office,Monday - Friday,151-300 employees,"2nd floor, PaxSky Building, 26 Ung Van Khiem, Ward 25, Binh Thanh, Ho Chi Minh",Software Products and Web Services,Vietnam,https://itviec.com/it-jobs/senior-fullstack-developer-reactjs-nodejs-amanotes-2629
"Platform Engineer (DevOps, Python, Jenkins, GitLab CI)",CÔNG TY CỔ PHẦN CHỨNG KHOÁN KAFI,,You'll love it,"DevOps,Jenkins,GitLab CI,Python,Helm",DevOps Engineer,"Banking,Securities & Investment,Financial Services",,,At office,Monday - Friday,301-500 employees,"Sailing Tower, 111A Pasteur, Ward Sai Gon, District 1, Ho Chi Minh",Financial Services,Vietnam,https://itviec.com/it-jobs/platform-engineer-devops-python-jenkins-gitlab-ci-cong-ty-co-phan-chung-khoan-kafi-3343
Software Developer (HTML/ CSS/ MySQL/ OOP),ATT Việt Nam,,You'll love it,"HTML,Laravel,MySQL,OOP,Git,CSS",Fullstack Developer,IT Services and IT Consulting,,,At office,Monday - Friday,1-50 employees,"Tầng 2, B1-105 Lạc Long Quân, Cau Giay, Ha Noi",IT Services and IT Consulting,Vietnam,https://itviec.com/it-jobs/software-developer-html-css-mysql-oop-att-viet-nam-5638
Remote Senior Frontend (React.js/TypeScript),Jedi Technology,4.8,"2,000 - 2,500 USD","ReactJS,JavaScript,English",Frontend Developer,"IT Services and IT Consulting,Software Development Outsourcing,Software Products and Web Services",,,Remote,Monday - Friday,1-50 employees,"Remote, Other, Ho Chi Minh",Software Development Outsourcing,Vietnam,https://itviec.com/it-jobs/remote-senior-frontend-react-js-typescript-jedi-technology-5227
Senior Business Analyst,AI+DI,,Up to 2k,"Business Analysis,User story,HIPAA / GDPR,English,Scrum,Agile",Business Analyst,"Education and Training,Healthcare,AI Software & Services",,,At office,Monday - Friday,1-50 employees,"46 Bach Dang Street, Ward 2, Tan Binh, Ho Chi Minh",Software Products and Web Services,Vietnam,https://itviec.com/it-jobs/senior-business-analyst-ai-di-4335
QC Lead,Saigon Technology,4.1,You'll love it,"QA QC,English,Team Management,Automation Test,Tester",Test Coordinator / QAQC Coordinator,"IT Services and IT Consulting,Software Development Outsourcing,Software Products and Web Services,AI Software & Services",,,At office,Monday - Friday,151-300 employees,"Orchard Parkview, 130 – 132 Hong Ha, Ward 9, Phu Nhuan, Ho Chi Minh",IT Services and IT Consulting,Vietnam,https://itviec.com/it-jobs/qc-lead-saigon-technology-4815
Site Reliability Engineer (Docker/ Kubernetes),Masterise Group,,You'll love it,"Docker,AWS,GCP,DevOps,Container Security,Kubernetes",Site Reliability Engineer (SRE),"Real Estate, Property and Construction",,,At office,Monday - Saturday,501-1000 employees,"Tòa nhà Onemount, Times City, Minh Khai, Hai Bà Trưng, Hai Ba Trung, Ha Noi","Real Estate, Property and Construction",Vietnam,https://itviec.com/it-jobs/site-reliability-engineer-docker-kubernetes-masterise-group-5220
Backend Developer (Python/ PostgreSQL/ MySQL),CÔNG TY TNHH HOÀNG HƯNG SƠN,,You'll love it,"Python,Flask,Django,FastAPI,MySQL,PostgreSql",Backend Developer,IT Services and IT Consulting,,,At office,Monday - Friday,51-150 employees,"224/7 Nguyễn Sơn, Phường Phú Thọ Hòa, Tan Phu, Ho Chi Minh",IT Services and IT Consulting,Vietnam,https://itviec.com/it-jobs/backend-developer-python-postgresql-mysql-cong-ty-tnhh-hoang-hung-son-1339
Project Manager,Nakivo,,"1,800 - 2,400 USD","Project Management,Cloud,Waterfall Methodology,Agile,Team Management,English",Project Manager,Software Products and Web Services,,,At office,Monday - Friday,151-300 employees,"16 Le Quy Don, Phu Nhuan, Ho Chi Minh",Software Products and Web Services,United States,https://itviec.com/it-jobs/project-manager-nakivo-1939
Senior Android Developer (Kotlin/Java),TOHSoft,4.8,"700 - 1,800 USD","Android,PHP,Software Architecture,Android studio,Java,JSON",Mobile Application Developer,"IT Services and IT Consulting,Software Development Outsourcing,Software Products and Web Services",,,At office,Monday - Friday,51-150 employees,"Tầng 16 toà nhà văn phòng Viwaseen Số 48, Đường Tố Hữu, phường Trung Văn, Nam Tu Liem, Ha Noi",Telecommunication,Vietnam,https://itviec.com/it-jobs/senior-android-developer-kotlin-java-tohsoft-0933
"Principal Developer (JavaScript, CRM)",Sun Life Vietnam Insurance Company Limited,,You'll love it,"JavaScript,AWS,DevOps,API,Salesforce,Apex",Enterprise Application Developer (CRM),Insurance,,,At office,Monday - Friday,501-1000 employees,"LIM Tower 3, 29 A Nguyen Dinh Chieu, Da Kao Ward,, District 1, Ho Chi Minh",Financial Services,Canada,https://itviec.com/it-jobs/principal-developer-javascript-crm-sun-life-vietnam-insurance-company-limited-2754
[HN_New Project] Project Manager (Agile/ Scrum),OpenCommerce Group,3.8,"1,000 - 2,000 USD","Project Management,Team Management,Leadership,Scrum,Tester,Agile",Scrum Master / Agile Coach,"E-commerce,AI Software & Services",,,At office,Monday - Friday,151-300 employees,"Tầng 2, Tòa nhà Hoàng Cầu Skyline, Số 36 Phố Hoàng Cầu, Phường Ô Chợ Dừa, Dong Da, Ha Noi",Software Products and Web Services,Vietnam,https://itviec.com/it-jobs/hn_new-project-project-manager-agile-scrum-opencommerce-group-5157
IT Business Analyst (IT BA),PAL TECH,4.0,You'll love it,"Business Analysis,IT Communication/Translation,Product Owner,English",Business Analyst,Software Products and Web Services,,,At office,Monday - Friday,51-150 employees,"20 Sông Thao, Tan Binh, Ho Chi Minh",Software Products and Web Services,Singapore,https://itviec.com/it-jobs/it-business-analyst-it-ba-pal-tech-4248
[Da Nang] Fullstack Developer (Python/Django/JavaScrip),ONE Tech Stop Vietnam Company Ltd,4.9,You'll love it,"Django,MongoDB,PostgreSql,ReactJS,JavaScript,Python",Fullstack Developer,IT Services and IT Consulting,,,At office,Monday - Friday,151-300 employees,"Tầng 3-4 tòa nhà Phi Long, 52 Nguyễn Văn Linh, Hai Chau, Da Nang",IT Services and IT Consulting,Singapore,https://itviec.com/it-jobs/da-nang-fullstack-developer-python-django-javascrip-one-tech-stop-vietnam-company-ltd-3646
Chuyên viên Kiểm Thử Phần Mềm,The Human Inc,,600 - 900 USD,"Tester,QA QC,API,SQL",Manual Tester,Financial Services,,,At office,Monday - Friday,51-150 employees,"Tòa nhà Comatce, 61 Ngụy Như Kon Tum, Nhân Chính, Thanh Xuân, Hà Nội, Thanh Xuan, Ha Noi",Financial Services,Vietnam,https://itviec.com/it-jobs/chuyen-vien-kiem-thu-phan-mem-the-human-inc-2928
"Senior .NET Web Developer ( C#, JS, HTML, CSS)",Bray Leino Splash Group,3.8,You'll love it,"C#,Fullstack,JavaScript,MVC,OOP,ASP.NET",Fullstack Developer,Creative and Design,,,At office,Monday - Friday,51-150 employees,"204C Nguyen Van Huong, Thao Dien Ward, Thu Duc City, Ho Chi Minh",Creative and Design,United Kingdom,https://itviec.com/it-jobs/sitefinity-developer-c-net-bray-leino-splash-group-1059
"[SPX Express] Senior Associate, Product Operations",Shopee,4.2,You'll love it,"Product Owner,English,IT Support,Tester,Business Analysis,Project Management",Release Manager,"E-commerce,IT Services and IT Consulting,Transportation, Logistics and Warehouse,Software Products and Web Services",,,At office,Monday - Friday,1000+ employees,"Sonatus Building, 15 Le Thanh Ton, Ben Nghe Ward, District 1, Ho Chi Minh",E-commerce,Singapore,https://itviec.com/it-jobs/spx-express-senior-associate-product-operations-shopee-2213
Cloud Platform Engineer (GCP/ Azure/ AWS/ Oracle),Dr.JOY,4.5,You'll love it,"Cloud,Networking,GCP,Azure,AWS,Oracle",Cloud Engineer,Healthcare,,,At office,Monday - Friday,51-150 employees,"Zone 3 và Zone 4, Tầng 16, tòa nhà Văn phòng 789, số 147 đường Hoàng Quốc Việt, Phường Nghĩa Đô, Cầu Giấy, Hà Nội, Cau Giay, Ha Noi",Healthcare,Japan,https://itviec.com/it-jobs/cloud-platform-engineer-gcp-azure-aws-oracle-dr-joy-0329
"Mid/Senior Fullstack Developer (ReactJS, NodeJS)",VeXeRe,4.1,"1,000 - 1,600 USD","NodeJS,Linux,macOS,PostgreSql,React Native,ReactJS",Fullstack Developer,"E-commerce,IT Services and IT Consulting,Transportation, Logistics and Warehouse,Software Products and Web Services",,,Hybrid,Monday - Friday,151-300 employees,"384 Hoàng Diệu, phường 6, District 4, Ho Chi Minh","Transportation, Logistics and Warehouse",Vietnam,https://itviec.com/it-jobs/mid-senior-fullstack-developer-reactjs-nodejs-vexere-1555
Lead Software Engineer (Python),Teamflow GmbH,,"70,000,000 vnd","Python,AI,Leadership,Azure,Agile,English",Manager,"Media, Advertising and Entertainment,IT Services and IT Consulting,Software Products and Web Services,AI Software & Services",,,At office,Monday - Friday,1-50 employees,"SONATUS - THE SENTRY 15 Lê Thánh Tôn, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam., District 1, Ho Chi Minh",Software Products and Web Services,Germany,https://itviec.com/it-jobs/lead-software-engineer-python-teamflow-gmbh-3854
[Da Nang] Scrum Master,ONE Tech Stop Vietnam Company Ltd,4.9,You'll love it,"Scrum,Team Management,Leadership,English,Agile",Scrum Master / Agile Coach,IT Services and IT Consulting,,,At office,Monday - Friday,151-300 employees,"Tầng 3-4 tòa nhà Phi Long, 52 Nguyễn Văn Linh, Hai Chau, Da Nang",IT Services and IT Consulting,Singapore,https://itviec.com/it-jobs/da-nang-scrum-master-one-tech-stop-vietnam-company-ltd-2507
Senior Frontend Engineer (React/ VueJS/ Blockchain),Masterise Group,,You'll love it,"ReactJS,Web3.js,Git,Blockchain,TypeScript,VueJS",Frontend Developer,"Blockchain & Web3 Services,IT Services and IT Consulting,Software Products and Web Services,Emerging Tech R&D",,,At office,Monday - Saturday,501-1000 employees,"Tòa nhà Onemount, Times City, Minh Khai, Hai Bà Trưng, Hai Ba Trung, Ha Noi","Real Estate, Property and Construction",Vietnam,https://itviec.com/it-jobs/senior-frontend-engineer-react-vuejs-blockchain-masterise-group-5154
"Full Stack Developer (.Net, ReactJS/ Angular)",New Ocean IS,3.8,You'll love it,".NET,NextJS,C#,.Net Core,Angular,ReactJS",Fullstack Developer,"E-commerce,IT Services and IT Consulting,Software Development Outsourcing,AI Software & Services",,,At office,Monday - Friday,51-150 employees,"51  Hoang Viet, Tan Binh, Ho Chi Minh",Software Development Outsourcing,Vietnam,https://itviec.com/it-jobs/full-stack-developer-net-reactjs-angular-new-ocean-is-5716
IT Business Analyst (Senior BA),Dai-ichi Life Việt Nam,4.1,You'll love it,"Business Analysis,SQL,English",Business Analyst,"Insurance,Banking,Financial Services",,,At office,Monday - Friday,1000+ employees,"149-151 Nguyen Van Troi, Ward 11, Phu Nhuan, Ho Chi Minh",Financial Services,Japan,https://itviec.com/it-jobs/it-business-analyst-senior-ba-dai-ichi-life-viet-nam-5815
Senior Software Engineer (IoT),Masterise Group,,You'll love it,"IoT,Spring Boot,C++,Spring,Java",Backend Developer,"Real Estate, Property and Construction",,,At office,Monday - Saturday,501-1000 employees,"Tòa nhà Onemount, Times City, Minh Khai, Hai Bà Trưng, Hai Ba Trung, Ha Noi","Real Estate, Property and Construction",Vietnam,https://itviec.com/it-jobs/senior-software-engineer-iot-masterise-group-2023
"Senior Fullstack Developer (English, Hybrid)",Gradion,4.8,You'll love it,"Shopify,UI-UX,Fullstack,ReactJS,TypeScript,NodeJS",Fullstack Developer,"IT Services and IT Consulting,Software Development Outsourcing,Software Products and Web Services",,,Hybrid,Monday - Friday,301-500 employees,"Podium Floor, Sapphire 2 Tower, 92 Nguyen Huu Canh Street, Ward 22, Binh Thanh, Ho Chi Minh",Software Development Outsourcing,Germany,https://itviec.com/it-jobs/senior-fullstack-developer-english-hybrid-gradion-4918
"FullStack Engineer (NextJS/NestJS, English) up to $2200",GEM Corporation,4.1,"1,000 - 2,200 USD","English,NextJS,NestJS",Fullstack Developer,Blockchain & Web3 Services,,,At office,Monday - Friday,301-500 employees,"Tầng 8, Tòa nhà Hưng Bình: 669 Điện Biên Phủ, Phường 25, Bình Thạnh, Hồ Chí Minh, Binh Thanh, Ho Chi Minh",IT Services and IT Consulting,Vietnam,https://itviec.com/it-jobs/fullstack-engineer-nextjs-nestjs-english-up-to-2200-gem-corporation-0328
Techlead NodeJS - US Client,VMO Holdings,3.3,"1,800 - 2,500 USD","English,AWS,Fullstack,NodeJS",Fullstack Developer,Financial Services,,,At office,Monday - Friday,1000+ employees,"Tầng 8, Tòa IDMC, Số 18 Tôn Thất Thuyết, Cau Giay, Ha Noi",,Vietnam,https://itviec.com/it-jobs/techlead-nodejs-us-client-vmo-holdings-2522
Middle/Senior C++ Backend Developer,Vitalify Asia,3.2,"1,000 - 2,300 USD","C++,English,Leadership,Git,Golang",Backend Developer,Software Development Outsourcing,,,At office,Monday - Friday,151-300 employees,"224A-224B  Dien Bien Phu, Vo Thi Sau Ward, District 3, Ho Chi Minh",Software Development Outsourcing,Japan,https://itviec.com/it-jobs/c-developer-golang-vitalify-asia-4640
"Senior/Principal Developer (C#, .Net, ERP, ReactJS)",LINH LONG ELECTRONIC ENGINEERING,,You'll love it,"C#,ERP,Azure,ReactJS,English,.NET",Fullstack Developer,"Manufacturing and Engineering,Software Products and Web Services",,,Hybrid,Monday - Friday,1-50 employees,"Số 46 Đường C18, Phường 12, Quận Tân Bình, Tan Binh, Ho Chi Minh",Software Products and Web Services,Vietnam,https://itviec.com/it-jobs/senior-principal-developer-c-net-erp-reactjs-linh-long-electronic-engineering-1319
Business Analyst,Viettel Software Services (A Member of Viettel Group),3.4,"1,000 - 2,000 USD","Business Analysis,Figma,Database,SQL",Business Analyst,"Telecommunication,Software Products and Web Services,Financial Services",,,At office,Monday - Friday,1000+ employees,"36A Dịch Vọng Hậu, Cầu Giấy, Hà Nội, Cau Giay, Ha Noi",IT Services and IT Consulting,Vietnam,https://itviec.com/it-jobs/business-analyst-viettel-software-services-a-member-of-viettel-group-5902
"Senior Game Artist (UI-UX, Spine, AI)",Athena Studio,4.9,You'll love it,"Games,Generative AI,Spine,UI-UX,Leadership,Design",Visual / Graphic Designer,Game,,,At office,Monday - Friday,151-300 employees,"40A Lam Sơn, Phường 2, Tan Binh, Ho Chi Minh",Game,United Arab Emirates,https://itviec.com/it-jobs/senior-game-artist-athena-studio-1033
[Sign-on Bonus] Solution Architect,Everfit,,You'll love it,"Solution Architecture,Cloud,Microservices,Leadership,English,System Architecture",Solution Architect,"E-commerce,Education and Training,Software Products and Web Services,Sports and Fitness,AI Software & Services",,,At office,Monday - Friday,51-150 employees,"12A, Vietinbank building, 36 Tran Quoc Toan, Da Nang, Hai Chau, Da Nang",Software Products and Web Services,United States,https://itviec.com/it-jobs/solution-architect-everfit-0250
Front-End Focused FullStack Dev (React/Typescript),Aviation Software Innovation,,Min $1100,"ReactJS,HTML,Microservices,Spring Boot,CSS,JavaScript",Fullstack Developer,Software Development Outsourcing,,,Hybrid,Monday - Friday,1-50 employees,"235/15 Thich Quang Duc street, ward 04, Phu Nhuan, Ho Chi Minh",Software Development Outsourcing,Norway,https://itviec.com/it-jobs/front-end-focused-fullstack-dev-react-typescript-aviation-software-innovation-4749
"Backend Golang Developer (Gin/Echo, PostgreSQL, Redis)",Vietnix,,Thương lượng,"Golang,Git,Redis,PostgreSql,API,Gin",Backend Developer,"IT Services and IT Consulting,Network and Infrastructure,Software Products and Web Services",,,At office,Monday - Saturday,51-150 employees,"265 Hong Lac, P. 10, Tan Binh, Ho Chi Minh",Network and Infrastructure,Vietnam,https://itviec.com/it-jobs/backend-golang-developer-gin-echo-postgresql-redis-vietnix-1829
"DevOps Engineer (AWS, SQL, System Admin)",i3 DVR International,4.5,"1,000 - 2,200 USD","DevOps,C#,.NET,System Admin,SQL,AWS",DevOps Engineer,Software Products and Web Services,,,At office,Monday - Friday,51-150 employees,"30 Ấp Bắc Phường 13, Tan Binh, Ho Chi Minh",Software Products and Web Services,Canada,https://itviec.com/it-jobs/devops-engineer-aws-sql-system-admin-i3-dvr-international-2608
Middle Fullstack Engineer (.Net and Angular),The Access Group,4.4,You'll love it,"Fullstack,English,Angular,.NET",Fullstack Developer,Software Products and Web Services,,,Hybrid,Monday - Friday,1000+ employees,"3A-3B Ton Duc Thang, Ben Nghe Ward, District 1, Ho Chi Minh",Software Products and Web Services,United Kingdom,https://itviec.com/it-jobs/middle-fullstack-engineer-net-and-angular-the-access-group-3211
"Server API Engineer (.NET, NodeJS)",MCGAAW,,You'll love it,".NET,C++,SQL,NodeJS",Backend Developer,Software Products and Web Services,,,At office,Monday - Friday,301-500 employees,"5th Floor, E-Town 5, 364 Cong Hoa Street, Tan Binh, Ho Chi Minh",Software Products and Web Services,Vietnam,https://itviec.com/it-jobs/server-api-engineer-net-nodejs-mcgaaw-3715
"Full Stack Developer (Java, Springboot, React)",LG CNS Việt Nam,4.8,"1,000 - 2,000 USD","Spring Boot,ReactJS",Fullstack Developer,AI Software & Services,,,At office,Monday - Friday,501-1000 employees,"Tầng 15, tòa Keangnam Landmark 72, Mễ Trì, Nam Tu Liem, Ha Noi",IT Services and IT Consulting,Vietnam,https://itviec.com/it-jobs/full-stack-developer-java-springboot-react-lg-cns-viet-nam-1342
IT Support Technician (onsite),ZOI SGN,,You'll love it,"IT Support,.NET,English",IT Support,Software Development Outsourcing,,,At office,Monday - Friday,301-500 employees,"49 Dien Bien Phu, Tan Dinh Ward, District 1, Ho Chi Minh",Software Products and Web Services,Vietnam,https://itviec.com/it-jobs/it-support-technician-onsite-zoi-sgn-4141
VTS - Kỹ Sư Phát Triển Phần Mềm (Java/ C#/ OOP),Viettel Group,3.6,You'll love it,"Java,Database,OOP,C#",Backend Developer,Telecommunication,,,At office,Monday - Friday,1000+ employees,"1 Tran Huu Duc, Hanoi, Nam Tu Liem, Ha Noi",Telecommunication,Vietnam,https://itviec.com/it-jobs/vts-ky-su-phat-trien-phan-mem-java-c-oop-viettel-group-4556
"[Remote/Onsite Korea] Full-stack Developer (Java, SQL)",LikeLion Vietnam,,You'll love it,"Java,CSS,SQL,HTML,JavaScript,Spring",Fullstack Developer,"Education and Training,AI Software & Services",,,At office,Monday - Friday,51-150 employees,"11F Cobi Tower 2, số 2-4 Đường Số 8, Tân Phú, Quận 7, Thành phố Hồ Chí Minh, District 7, Ho Chi Minh",IT Services and IT Consulting,South Korea,https://itviec.com/it-jobs/remote-onsite-korea-full-stack-developer-java-sql-likelion-vietnam-0727
JavaScript Developer,Bosch Global Software Technologies Company Limited,3.3,You'll love it,"JavaScript,ReactJS,API,English,OutSystems,SQL",Frontend Developer,"Software Products and Web Services,AI Software & Services",,,At office,Monday - Friday,1000+ employees,"364 Cong Hoa street, ward 13, Tan Binh, Ho Chi Minh",IT Services and IT Consulting,Germany,https://itviec.com/it-jobs/javascript-developer-bosch-global-software-technologies-company-limited-0450
Mid/Sr Mobile Dev (Android) - English required,"Rakuten Fintech Vietnam Co., Ltd.",4.9,Up to $3200,"Android,SQL,Agile,Web API,Java,Kotlin",Mobile Application Developer,"IT Services and IT Consulting,Financial Services",,,At office,Monday - Friday,51-150 employees,"24th-25th Floor, A&B Tower, 76A Le Lai Street, Ben Thanh Ward, District 1, Ho Chi Minh",Financial Services,Japan,https://itviec.com/it-jobs/mid-sr-mobile-dev-android-english-required-rakuten-fintech-vietnam-co-ltd-1638
Generative Game Artist (Contractor),Athena Studio,4.9,You'll love it,"Games,Design,UI-UX,Adobe Photoshop,Generative AI,AI",Game Designer,Game,,,At office,Monday - Friday,151-300 employees,"40A Lam Sơn, Phường 2, Tan Binh, Ho Chi Minh",Game,United Arab Emirates,https://itviec.com/it-jobs/generative-game-artist-contractor-athena-studio-4653
Business Analyst (ERP – Tài chính Kế toán),SSI Securities Corporation,,You'll love it,"Business Analysis,ERP",Business Analyst,"Banking,Securities & Investment",,,At office,Monday - Friday,1000+ employees,"1 Luong Yen, Hai Ba Trung, Ha Noi",Financial Services,Vietnam,https://itviec.com/it-jobs/business-analyst-erp-tai-chinh-ke-toan-ssi-securities-corporation-0209
"Senior Back-end Python Developer (FastAPI, AWS)",Outpost24,5.0,Up to $2200,"Python,FastAPI,PostgreSql,AWS,JavaScript,Django",Backend Developer,Cyber Security,,,At office,Monday - Friday,301-500 employees,"18th Floor, Peakview Tower, 36 Hoang Cau, Dong Da, Ha Noi",Software Products and Web Services,Sweden,https://itviec.com/it-jobs/senior-back-end-python-developer-fastapi-aws-outpost24-1231
"Junior Fullstack Developer (React, Python, NextJS)",LovinBot AI,,You'll love it,"Python,HTML,CSS,JavaScript,NextJS,ReactJS",Fullstack Developer,AI Software & Services,,,At office,Monday - Friday,1-50 employees,"Tòa nhà Trung tâm Khởi nghiệp sáng tạo TPHCM (SIHUB) - 123 Trương Định, Phường Võ Thị Sáu, District 3, Ho Chi Minh",AI Software & Services,Vietnam,https://itviec.com/it-jobs/junior-fullstack-developer-reactjs-python-nextjs-lovinbot-ai-1313
"Team Lead Engineering (Next.js/ReactJS, English)",HRS Group,4.8,You'll love it,"NextJS,ReactJS,Java,Flutter,English",Manager,"IT Services and IT Consulting,Software Products and Web Services",,,Hybrid,Monday - Friday,51-150 employees,"Anna building, Quang Trung software city, District 12, Ho Chi Minh",Software Products and Web Services,Germany,https://itviec.com/it-jobs/team-lead-engineering-next-js-reactjs-english-hrs-group-4151
